scenario,light_mode,n_seeds,avg_travel_mean,avg_travel_ci95,avg_wait_mean,avg_wait_ci95,avg_reservation_wait_mean,avg_reservation_wait_ci95,avg_utility_mean,avg_utility_ci95
VS-01,adaptive,5,19.56166666666674,6.102158003407213,6.51333333333333,3.3425347938034626,6.093333333333331,3.6308161090908215,0.8439989550332682,0.016895705700238073
VS-01,adaptive,10,19.766666666666715,3.4122583199287644,6.651666666666664,1.6643565472086932,6.218333333333331,1.729710364403337,0.8412813969629221,0.009451273274479316
VS-01,adaptive,15,19.892222222222244,3.161856476010531,6.690555555555557,1.43029590247708,6.333888888888891,1.4781926936989693,0.8479241329215588,0.009775579062066862
VS-01,adaptive,20,20.740416666666693,2.6084250280467947,6.829583333333335,1.116926547010918,6.510000000000001,1.1471306282655782,0.8477740716745792,0.009129984441969932
VS-01,adaptive,25,21.240333333333368,2.3120585259364224,7.108666666666669,1.0580506932939635,6.736333333333337,1.0636301194705855,0.8481875950239249,0.009113556655655518
VS-01,adaptive,30,21.070277777777815,1.9361367737545658,7.1736111111111125,0.9086550690255141,6.748333333333337,0.9008755786239959,0.8453153374042573,0.0086399741199656
VS-01,fixed,5,26.61833333333333,6.1533372444387116,11.90833333333335,3.316870770856814,10.916666666666682,3.7956951188454577,0.7979328223692727,0.013925133261053881
VS-01,fixed,10,27.014166666666636,4.794309754082733,12.539166666666661,2.5851753927719834,11.652499999999993,2.8881289951199034,0.7964647952487715,0.008366031803968705
VS-01,fixed,15,25.22055555555556,3.6360306097081616,11.776111111111112,1.9521795743300125,11.013888888888888,2.0351940058241342,0.7999057564685844,0.012119687292757636
VS-01,fixed,20,25.34708333333335,2.7642682813826442,11.651666666666674,1.5523388605039545,10.756666666666671,1.669102028283832,0.8036200920869628,0.010881542533331888
VS-01,fixed,25,25.575333333333354,2.5275263287888663,11.647333333333345,1.5908882521718926,10.632000000000007,1.5235690002218518,0.8082351120584446,0.012901154139876875
VS-01,fixed,30,25.825555555555578,2.472224859459295,11.96694444444446,1.4913302365157122,11.006666666666677,1.444220749596358,0.8048518065376231,0.011546370256972052
VS-02,adaptive,5,28.866538461538095,4.034201755177611,14.22846153846157,3.5429561847808873,12.412692307692327,2.6470054144875426,0.7653099725714911,0.024689080116451212
VS-02,adaptive,10,29.260961538461174,2.117234991343482,14.700384615384653,1.7540472563275895,12.987692307692333,1.44409943997449,0.762918461429859,0.012960538510637786
VS-02,adaptive,15,28.44474358974325,1.8126563089280925,14.02743589743593,1.418621831554733,12.42846153846156,1.2063011529563203,0.7685849164904752,0.010814242431805069
VS-02,adaptive,20,28.30192307692274,1.4129470334571352,13.889134615384645,1.067425239968487,12.319326923076943,0.9100958255055904,0.7687254675952317,0.008183841443176763
VS-02,adaptive,25,29.21453846153809,1.5037305527667228,14.419461538461569,1.0735087054936323,12.721230769230793,0.8552439852986327,0.766823336221496,0.007380307539435399
VS-02,adaptive,30,29.441923076922695,1.6187446529070626,14.586794871794902,1.208684929444957,12.864551282051305,0.9409600398221761,0.765965831837273,0.007189603721715787
VS-02,fixed,5,33.324230769230226,5.335470373784788,18.16576923076928,3.987030877706789,15.685769230769267,3.2846228050757627,0.7437653672696485,0.0075978121241399715
VS-02,fixed,10,30.886241258740835,3.173172909812248,16.590506993007033,2.2595769626674866,14.595384615384646,1.8071054253919754,0.7473168749870445,0.005957068398348946
VS-02,fixed,15,30.559930069929656,2.3883188226268053,16.39226107226111,1.7996453124729057,14.48282051282054,1.4545657772696734,0.7488319106398542,0.0072887622583696085
VS-02,fixed,20,30.38523601398561,1.7632827386879395,16.241311188811224,1.330913614968364,14.371923076923105,1.0820189182471178,0.7494953334875232,0.005467044059857638
VS-02,fixed,25,31.259271767447807,1.903002994526088,16.879163581516565,1.4361356251184885,14.871271493212697,1.1448213464259658,0.7469504942005062,0.006359163533175068
VS-02,fixed,30,31.245675190821824,1.5884881163654045,16.85641836921253,1.1982849174586452,14.796892911010586,0.9498316648200122,0.7458038518519478,0.0058061567875067445
VS-03,adaptive,5,25.48562500000009,3.8677941759745575,11.70937500000002,3.4142066946925125,10.067500000000006,2.2519281471952506,0.7829907231986805,0.022866797969121767
VS-03,adaptive,10,27.08781250000004,2.986765942608446,12.344062500000023,1.9045612180962468,11.015625000000014,1.4840808792025326,0.7836725747843858,0.011842438470702897
VS-03,adaptive,15,25.7233333333334,2.4181674340412838,11.406041666666685,1.6339936733700222,10.272291666666677,1.3486349865614184,0.7931690090446051,0.013307989938488852
VS-03,adaptive,20,25.12140625000008,1.8891827404336574,11.044687500000014,1.265049435729084,10.002812500000008,1.0590223861442414,0.7940396531389305,0.009883461929907189
VS-03,adaptive,25,26.001125000000062,1.8249846531736407,11.51337500000002,1.1611388347041933,10.431500000000012,0.9448045158637365,0.7932225161789164,0.00819415413649119
VS-03,adaptive,30,26.091666666666722,1.762139585589273,11.516770833333352,1.1176262172434765,10.499583333333346,0.9558584798578411,0.7931142608444858,0.007040871175366074
VS-03,fixed,5,29.72937500000004,2.146414618798376,14.923750000000018,1.725785415641585,13.477500000000015,1.8630666226416737,0.7643369078229296,0.010878324673984736
VS-03,fixed,10,29.703750000000014,3.81804832220712,15.157812500000023,2.501163771113591,13.413750000000016,2.06547967545358,0.7581653585864376,0.010264027741377166
VS-03,fixed,15,28.946250000000017,2.567716157609842,14.653333333333356,1.7154903872292837,13.193541666666682,1.3652254399751418,0.7632829808591052,0.010947508334676384
VS-03,fixed,20,28.066250000000046,2.0581367913863606,14.203281250000021,1.3773909553906125,12.821718750000013,1.1033772830390791,0.7651524944075719,0.008995960516965228
VS-03,fixed,25,28.71950000000004,1.8747494256233517,14.733625000000025,1.3357187762781377,13.237625000000019,1.0718335333921776,0.7625758818712921,0.009345431406933254
VS-03,fixed,30,29.11093750000003,1.717567624981528,15.030416666666694,1.1881092818749925,13.44729166666669,0.930302046311439,0.759742421671421,0.008453823487045159
