scenario,label,light_mode,avg_travel,min_travel,max_travel,avg_wait,min_wait,max_wait,avg_reservation_wait,min_reservation_wait,max_reservation_wait,avg_utility,min_utility,max_utility,collisions,completed_trips,vehicles_spawned
VS-01,Multi-Vehicle Intersection Coordination,adaptive,17.091666666666665,2.900000000000041,74.69999999999989,6.07500000000001,0.0,30.500000000000163,5.666666666666678,0.0,30.500000000000163,0.8308658841633232,0.6351886792452816,1.0,0,12,12
VS-01,Multi-Vehicle Intersection Coordination,fixed,18.300000000000022,2.900000000000041,65.69999999999995,8.450000000000005,0.0,30.700000000000166,7.375000000000007,0.0,30.700000000000166,0.7875263035813261,0.6087547169811336,1.0,0,12,12
VS-02,Heavy Traffic Congestion,adaptive,31.867307692307122,5.500000000000078,122.49999999999648,16.357692307692375,0.0,56.600000000000534,14.676923076923133,0.0,56.600000000000534,0.7485993726163594,0.5108252427184461,0.9726415094339624,0,52,52
VS-02,Heavy Traffic Congestion,fixed,32.87499999999946,4.799999999999983,133.49999999999312,17.2384615384616,0.0,66.30000000000051,15.155769230769284,0.0,65.80000000000054,0.7449305294958187,0.5950819672131139,0.9882075471698119,0,52,52
VS-03,Emergency Vehicle Prioritization,adaptive,28.02499999999994,2.899999999999835,74.89999999999988,15.04375000000007,0.0,40.0000000000003,12.443750000000044,0.0,40.0000000000003,0.7617495275193387,0.5996646942800775,1.0,0,32,32
VS-03,Emergency Vehicle Prioritization,fixed,34.128124999999706,4.799999999999983,121.49999999999612,16.150000000000063,0.0,58.50000000000056,14.750000000000057,0.0,58.50000000000056,0.7732990835190628,0.6431720430107529,0.9882075471698119,0,32,32
VS-11,Reservation Stress Test,adaptive,37.00294117646912,3.2999999999998124,137.99999999999483,21.36666666666676,0.0,81.29999999999966,18.010784313725566,0.0,65.10000000000058,0.724429810666941,0.5108252427184461,1.0,0,102,102
VS-11,Reservation Stress Test,fixed,35.68725490195944,4.799999999999983,119.09999999999324,21.322549019607937,0.0,66.80000000000048,17.676470588235357,0.0,55.50000000000052,0.7126713587619327,0.5550219619326509,0.9882075471698119,0,102,102
VS-12,High-Density Traffic,adaptive,34.47272727272616,3.2999999999998124,142.09999999999195,18.01428571428578,0.0,58.700000000000564,15.698701298701351,0.0,52.10000000000047,0.7347806923300184,0.5108252427184461,1.0,0,77,77
VS-12,High-Density Traffic,fixed,34.22337662337558,4.799999999999983,150.8999999999918,19.40129870129876,0.0,74.40000000000005,16.44935064935069,0.0,70.90000000000025,0.722617785613527,0.559712460063896,0.9882075471698119,0,77,77
VS-13,Priority-Based Overtaking,adaptive,32.593333333332566,4.800000000000068,152.59999999999332,18.6733333333334,0.0,69.9000000000003,15.735000000000046,0.0,64.30000000000062,0.7166339494475836,0.47592499999999993,0.9734693877551016,0,60,60
VS-13,Priority-Based Overtaking,fixed,43.33666666666539,4.799999999999983,147.79999999999575,25.906666666666773,0.0,86.89999999999934,21.210000000000093,0.0,73.5000000000001,0.7188523377157648,0.5637883959044353,0.9882075471698119,0,60,60
VS-14,Mixed Emergency Traffic,adaptive,30.58909090909034,5.500000000000078,112.19999999999705,15.330909090909149,0.0,52.500000000000476,13.74181818181823,0.0,51.90000000000047,0.7622399757872038,0.5108252427184461,1.0,0,55,55
VS-14,Mixed Emergency Traffic,fixed,31.099999999999486,3.2999999999998124,168.69999999999243,16.34727272727276,0.0,87.29999999999932,14.378181818181849,0.0,81.59999999999964,0.7573670213243441,0.5950819672131139,1.0,0,55,55
