scenario,label,light_mode,n_seeds,avg_travel_mean,avg_travel_std,avg_travel_ci96,min_travel_mean,min_travel_std,min_travel_ci96,max_travel_mean,max_travel_std,max_travel_ci96,avg_wait_mean,avg_wait_std,avg_wait_ci96,min_wait_mean,min_wait_std,min_wait_ci96,max_wait_mean,max_wait_std,max_wait_ci96,avg_reservation_wait_mean,avg_reservation_wait_std,avg_reservation_wait_ci96,min_reservation_wait_mean,min_reservation_wait_std,min_reservation_wait_ci96,max_reservation_wait_mean,max_reservation_wait_std,max_reservation_wait_ci96,avg_utility_mean,avg_utility_std,avg_utility_ci96,min_utility_mean,min_utility_std,min_utility_ci96,max_utility_mean,max_utility_std,max_utility_ci96,collisions_mean,collisions_std,collisions_ci96,completed_trips_mean,completed_trips_std,completed_trips_ci96,vehicles_spawned_mean,vehicles_spawned_std,vehicles_spawned_ci96
VS-01,Multi-Vehicle Intersection Coordination,adaptive,20,20.740416666666693,5.573386186976519,2.747602527802156,4.839999999999934,1.521910157110415,0.7502807188447875,56.05999999999964,31.100810617290534,15.332270724114386,6.829583333333335,2.3865217217453996,1.176522296381476,0.0,0.0,0.0,20.98000000000006,11.66730023342355,5.7518181117414615,6.510000000000001,2.451058370276599,1.2083379740846565,0.0,0.0,0.0,20.69500000000006,11.84729482780121,5.840552964470386,0.8477740716745792,0.019507913253803078,0.009617132201163999,0.696944410999514,0.04322374342546322,0.021308709411594,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0
VS-01,Multi-Vehicle Intersection Coordination,fixed,20,25.34708333333335,5.906374341183082,2.9117610955978064,4.739999999999917,1.6806640291704598,0.8285441884011987,75.10999999999922,41.61239567345346,20.514337191894636,11.651666666666674,3.316861274375258,1.635166865547215,0.0,0.0,0.0,39.725000000000094,21.491366075460714,10.59494708851155,10.756666666666671,3.5663475426998987,1.7581601551747148,0.0,0.0,0.0,38.38500000000006,22.25092014655599,10.969396770577442,0.8036200920869628,0.02325044354204894,0.011462148020162688,0.6567325320491212,0.032097926513577825,0.01582383510979298,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0
VS-02,Heavy Traffic Congestion,adaptive,20,28.30192307692274,3.019024658376408,1.4883375213143122,4.640000000000013,1.2667405333956512,0.6244856133889158,99.23499999999659,21.684077956925844,10.689951388390927,13.889134615384645,2.2807529540249964,1.1243797525487562,0.030000000000000006,0.09787209698591859,0.04824959406333359,48.05500000000033,13.001476636784007,6.409548679017264,12.319326923076943,1.9445893396046854,0.9586557266603906,0.030000000000000006,0.09787209698591859,0.04824959406333359,46.200000000000315,12.516599504573675,6.170510939761428,0.7687254675952317,0.01748630241060127,0.008620505935431134,0.5687924059235827,0.0448039965589873,0.022087752413204743,0.9922231915054021,0.01119904542962311,0.005520974951153743,0.05,0.22360679774997894,0.11023506753708039,52.0,0.0,0.0,52.0,0.0,0.0
VS-02,Heavy Traffic Congestion,fixed,20,30.38523601398561,3.767582182301153,1.8573660572781376,4.604999999999963,0.7810081204511348,0.3850262325262746,111.81999999999528,25.484166394881807,12.563342581414233,16.241311188811224,2.843744971761018,1.4019270530890564,0.015000000000000003,0.0670820393249937,0.03307052026112412,61.22000000000033,13.010667687870631,6.414079740449499,14.371923076923105,2.311935067392543,1.1397521044075034,0.015000000000000003,0.0670820393249937,0.03307052026112412,57.79000000000034,12.991572166924746,6.40466591196885,0.7494953334875232,0.011681358489961538,0.005758748638337757,0.5635698128108133,0.04570728075189475,0.02253305906314687,0.9848448758843495,0.016949564582165115,0.008355901588145045,0.1,0.30779350562554625,0.15173795350374145,51.6,1.7888543819998315,0.8818805402966431,52.0,0.0,0.0
VS-03,Emergency Vehicle Prioritization,adaptive,20,25.12140625000008,4.036590999163845,1.9899836941001012,4.61999999999999,1.3004452678744207,0.6411015826661149,76.6899999999987,22.410591950658038,11.048112767971391,11.044687500000014,2.7030138781540742,1.332548564758506,0.015000000000000003,0.048936048492959294,0.024124797031666794,37.570000000000235,13.459885821053346,6.63553808495675,10.002812500000008,2.2627986908463833,1.1155285484083262,0.015000000000000003,0.048936048492959294,0.024124797031666794,36.70000000000022,13.529927840473668,6.670067834583887,0.7940396531389305,0.021117858327291288,0.010410812919696534,0.6248117514347653,0.04996996011340759,0.024634501201908195,0.9963961472439443,0.010021711057913408,0.004940565342478699,0.0,0.0,0.0,32.0,0.0,0.0,32.0,0.0,0.0
VS-03,Emergency Vehicle Prioritization,fixed,20,28.066250000000046,4.397592815849615,2.1679526111625447,4.934999999999967,0.8164589782456281,0.40250301651739895,96.06499999999762,33.17723180927255,16.355917735908257,14.203281250000021,2.943052471241167,1.4508842807864593,0.0,0.0,0.0,52.145000000000195,18.473778714707734,9.107318135103865,12.821718750000013,2.357571194184755,1.1622500855498084,0.0,0.0,0.0,49.935000000000166,19.22252721760506,9.476440821067387,0.7651524944075719,0.019221546160896857,0.009475957173639964,0.6023640670329016,0.045877986504479204,0.022617214644973842,0.9959041141624434,0.008307999871211643,0.00409572936116678,0.0,0.0,0.0,32.0,0.0,0.0,32.0,0.0,0.0
VS-11,Reservation Stress Test,adaptive,20,34.08436274509676,3.787745299709458,1.8673061960915731,4.789999999999921,0.9999473670359331,0.4929602617089587,132.3049999999935,34.00746783312482,16.76521264591097,19.280245098039277,3.733371128687864,1.8405004796502502,0.045,0.179105966869954,0.08829677162265664,71.98499999999994,19.62756587315986,9.676119292381731,16.326666666666718,2.444788806962643,1.2052471658342083,0.045,0.179105966869954,0.08829677162265664,62.050000000000296,13.00022267015748,6.4089304907637965,0.7341050436465376,0.01826509451045154,0.009004439700362247,0.5170770541533236,0.039180794095239314,0.019315591147968814,0.9839690430139086,0.016956220199536225,0.008359182715721614,0.15,0.36634754853252327,0.18060428914008875,102.0,0.0,0.0,102.0,0.0,0.0
VS-11,Reservation Stress Test,fixed,20,34.15274509803796,4.956847238662752,2.443657328950905,4.74999999999987,0.5266577836248623,0.25963502420767187,123.75499999999401,27.44417251919142,13.529598570321802,19.571225490196138,3.9620899292263405,1.9532556940626051,0.0,0.0,0.0,72.01999999999995,16.99977089628835,8.38065260861425,16.607205882352982,2.8700481735759817,1.4148941688372816,0.0,0.0,0.0,65.71500000000023,14.883239425254745,7.337231782407424,0.7277903889832584,0.014144555368425338,0.006973070729556955,0.5227915888085645,0.036042732155113645,0.017768569888391178,0.9862842998818353,0.009660920776150153,0.004762700709215785,0.15,0.36634754853252327,0.18060428914008875,102.0,0.0,0.0,102.0,0.0,0.0
VS-12,High-Density Traffic,adaptive,20,31.482467532466604,3.442678405318098,1.6971929759623083,4.944999999999991,1.239471449321972,0.611042331007593,110.3599999999949,16.96883831274763,8.36540327151887,16.89324675324681,3.063606927501822,1.5103159651606006,0.09500000000000003,0.40193610385103185,0.19814895611157074,55.89000000000043,10.0599727947733,4.959427851084328,14.651428571428607,2.313830268648227,1.1406864124899003,0.065,0.26808286228819544,0.13216115398654435,52.55000000000042,10.043091367229838,4.951105540116589,0.7473343252960133,0.01874173729932295,0.009239418021911538,0.54577204709331,0.04167150082293394,0.020543475215471427,0.9858756086704743,0.017494640247353442,0.008624616373963136,0.1,0.30779350562554625,0.15173795350374145,77.0,0.0,0.0,77.0,0.0,0.0
VS-12,High-Density Traffic,fixed,20,32.620714285713326,4.853471248811599,2.3926943916090084,4.714999999999899,0.5142956348249875,0.2535406553353026,113.21499999999449,24.13486831165613,11.898157234507446,18.213181818181873,3.6474766784674144,1.798155700258978,0.0,0.0,0.0,62.350000000000286,14.491721774861345,7.144218980169932,15.642012987013027,2.677166785952054,1.3198063047592696,0.0,0.0,0.0,56.24500000000048,9.812584562156667,4.837468864126938,0.7357834211546321,0.012940777305732523,0.006379624745911269,0.5370357343075136,0.035970897728138385,0.017733156506558486,0.9862032750222272,0.010531986420244959,0.005192124058918177,0.1,0.30779350562554625,0.15173795350374145,77.0,0.0,0.0,77.0,0.0,0.0
